municipio,n_meses,inicio,fim,total_mvi
CABO DE SANTO AGOSTINHO,253,2004-07-01,2025-07-01,3318
CARUARU,253,2004-07-01,2025-07-01,3261
RECIFE,253,2004-07-01,2025-07-01,14739
OLINDA,253,2004-07-01,2025-07-01,3925
JABOATAO DOS GUARARAPES,253,2004-07-01,2025-07-01,7936
PAULISTA,253,2004-07-01,2025-07-01,2715
PETROLINA,252,2004-08-01,2025-07-01,2614
VITORIA DE SANTO ANTAO,251,2004-08-01,2025-07-01,1536
IGARASSU,251,2004-07-01,2025-07-01,1280
GARANHUNS,249,2004-09-01,2025-07-01,1033
IPOJUCA,249,2004-07-01,2025-07-01,1116
CAMARAGIBE,248,2004-07-01,2025-07-01,1229
ABREU E LIMA,246,2004-07-01,2025-07-01,984
SAO LOURENCO DA MATA,244,2004-07-01,2025-07-01,1101
GOIANA,241,2004-07-01,2025-07-01,884
ESCADA,232,2004-10-01,2025-07-01,887
MORENO,231,2004-08-01,2025-07-01,637
PESQUEIRA,226,2004-08-01,2025-07-01,559
BEZERROS,225,2004-08-01,2025-07-01,683
SANTA CRUZ DO CAPIBARIBE,222,2004-07-01,2025-07-01,740
PALMARES,221,2004-11-01,2025-07-01,627
GRAVATA,219,2004-08-01,2025-07-01,716
CARPINA,218,2004-09-01,2025-07-01,587
BELO JARDIM,218,2004-08-01,2025-07-01,577
ARCOVERDE,218,2004-07-01,2025-07-01,563
SERRA TALHADA,214,2004-10-01,2025-07-01,582
PAUDALHO,211,2004-07-01,2025-07-01,586
BREJO DA MADRE DE DEUS,211,2004-10-01,2025-06-01,524
ITAMARACA,208,2004-07-01,2025-06-01,495
OURICURI,205,2004-12-01,2025-07-01,421
TIMBAUBA,205,2004-07-01,2025-07-01,542
TORITAMA,202,2004-11-01,2025-06-01,477
ARARIPINA,201,2005-02-01,2025-07-01,482
RIBEIRAO,200,2004-07-01,2025-07-01,479
SIRINHAEM,199,2004-07-01,2025-07-01,447
SAO BENTO DO UNA,198,2004-12-01,2025-07-01,414
